   NID    (HEX)    NODENAME     TYPE    STATUS        MODE
   432    0x1b0 c2-0c0s12n0  compute        up       batch
   433    0x1b1 c2-0c0s12n1  compute        up       batch
   434    0x1b2 c2-0c0s12n2  compute        up       batch
   435    0x1b3 c2-0c0s12n3  compute        up       batch
   436    0x1b4 c2-0c0s13n0  compute        up       batch
   437    0x1b5 c2-0c0s13n1  compute        up       batch
   438    0x1b6 c2-0c0s13n2  compute        up       batch
   439    0x1b7 c2-0c0s13n3  compute        up       batch
   440    0x1b8 c2-0c0s14n0  compute        up       batch
   441    0x1b9 c2-0c0s14n1  compute        up       batch
   442    0x1ba c2-0c0s14n2  compute        up       batch
   443    0x1bb c2-0c0s14n3  compute        up       batch
   444    0x1bc c2-0c0s15n0  compute        up       batch
   445    0x1bd c2-0c0s15n1  compute        up       batch
   446    0x1be c2-0c0s15n2  compute        up       batch
   447    0x1bf c2-0c0s15n3  compute        up       batch
   448    0x1c0  c2-0c1s0n0  compute        up       batch
   449    0x1c1  c2-0c1s0n1  compute        up       batch
   450    0x1c2  c2-0c1s0n2  compute        up       batch
   451    0x1c3  c2-0c1s0n3  compute        up       batch
   452    0x1c4  c2-0c1s1n0  compute        up       batch
   453    0x1c5  c2-0c1s1n1  compute        up       batch
   454    0x1c6  c2-0c1s1n2  compute        up       batch
   455    0x1c7  c2-0c1s1n3  compute        up       batch
   456    0x1c8  c2-0c1s2n0  compute        up       batch
   457    0x1c9  c2-0c1s2n1  compute        up       batch
   458    0x1ca  c2-0c1s2n2  compute        up       batch
   459    0x1cb  c2-0c1s2n3  compute        up       batch
   461    0x1cd  c2-0c1s3n1  service        up       batch
   462    0x1ce  c2-0c1s3n2  service        up       batch
   465    0x1d1  c2-0c1s4n1  service        up       batch
   466    0x1d2  c2-0c1s4n2  service        up       batch
   468    0x1d4  c2-0c1s5n0  compute        up       batch
   469    0x1d5  c2-0c1s5n1  compute        up       batch
   470    0x1d6  c2-0c1s5n2  compute        up       batch
   471    0x1d7  c2-0c1s5n3  compute        up       batch
   472    0x1d8  c2-0c1s6n0  compute        up       batch
   473    0x1d9  c2-0c1s6n1  compute        up       batch
   474    0x1da  c2-0c1s6n2  compute        up       batch
   475    0x1db  c2-0c1s6n3  compute        up       batch
   476    0x1dc  c2-0c1s7n0  compute        up       batch
   477    0x1dd  c2-0c1s7n1  compute        up       batch
   478    0x1de  c2-0c1s7n2  compute        up       batch
   479    0x1df  c2-0c1s7n3  compute        up       batch
   480    0x1e0  c2-0c1s8n0  compute        up       batch
   481    0x1e1  c2-0c1s8n1  compute        up       batch
   482    0x1e2  c2-0c1s8n2  compute        up       batch
   483    0x1e3  c2-0c1s8n3  compute        up       batch
   484    0x1e4  c2-0c1s9n0  compute        up       batch
   485    0x1e5  c2-0c1s9n1  compute        up       batch
   486    0x1e6  c2-0c1s9n2  compute        up       batch
   487    0x1e7  c2-0c1s9n3  compute        up       batch
   488    0x1e8 c2-0c1s10n0  compute        up       batch
   489    0x1e9 c2-0c1s10n1  compute        up       batch
   490    0x1ea c2-0c1s10n2  compute        up       batch
   491    0x1eb c2-0c1s10n3  compute        up       batch
   492    0x1ec c2-0c1s11n0  compute        up       batch
   493    0x1ed c2-0c1s11n1  compute        up       batch
   494    0x1ee c2-0c1s11n2  compute        up       batch
   495    0x1ef c2-0c1s11n3  compute        up       batch
   496    0x1f0 c2-0c1s12n0  compute        up       batch
   497    0x1f1 c2-0c1s12n1  compute        up       batch
   498    0x1f2 c2-0c1s12n2  compute        up       batch
   499    0x1f3 c2-0c1s12n3  compute        up       batch
   500    0x1f4 c2-0c1s13n0  compute        up       batch
   501    0x1f5 c2-0c1s13n1  compute        up       batch
   502    0x1f6 c2-0c1s13n2  compute        up       batch
   503    0x1f7 c2-0c1s13n3  compute        up       batch
   504    0x1f8 c2-0c1s14n0  compute        up       batch
   505    0x1f9 c2-0c1s14n1  compute        up       batch
   506    0x1fa c2-0c1s14n2  compute        up       batch
   507    0x1fb c2-0c1s14n3  compute        up       batch
   508    0x1fc c2-0c1s15n0  compute        up       batch
   509    0x1fd c2-0c1s15n1  compute        up       batch
   510    0x1fe c2-0c1s15n2  compute        up       batch
   511    0x1ff c2-0c1s15n3  compute        up       batch
   512    0x200  c2-0c2s0n0  compute        up       batch
   513    0x201  c2-0c2s0n1  compute        up       batch
   514    0x202  c2-0c2s0n2  compute        up       batch
   515    0x203  c2-0c2s0n3  compute        up       batch
   516    0x204  c2-0c2s1n0  compute        up       batch
   517    0x205  c2-0c2s1n1  compute        up       batch
   518    0x206  c2-0c2s1n2  compute        up       batch
   519    0x207  c2-0c2s1n3  compute        up       batch
   520    0x208  c2-0c2s2n0  compute        up       batch
   521    0x209  c2-0c2s2n1  compute        up       batch
   522    0x20a  c2-0c2s2n2  compute        up       batch
   523    0x20b  c2-0c2s2n3  compute        up       batch
   525    0x20d  c2-0c2s3n1  service        up       batch
   526    0x20e  c2-0c2s3n2  service        up       batch
   529    0x211  c2-0c2s4n1  service        up       batch
   530    0x212  c2-0c2s4n2  service        up       batch
   532    0x214  c2-0c2s5n0  compute        up       batch
   533    0x215  c2-0c2s5n1  compute        up       batch
   534    0x216  c2-0c2s5n2  compute        up       batch
   535    0x217  c2-0c2s5n3  compute        up       batch
   536    0x218  c2-0c2s6n0  compute        up       batch
   537    0x219  c2-0c2s6n1  compute        up       batch
   538    0x21a  c2-0c2s6n2  compute        up       batch
   539    0x21b  c2-0c2s6n3  compute        up       batch
   540    0x21c  c2-0c2s7n0  compute        up       batch
   541    0x21d  c2-0c2s7n1  compute        up       batch
   542    0x21e  c2-0c2s7n2  compute        up       batch
   543    0x21f  c2-0c2s7n3  compute        up       batch
   544    0x220  c2-0c2s8n0  compute        up       batch
   545    0x221  c2-0c2s8n1  compute        up       batch
